File_name,Compound_name,Column,Organic_modifier,pH,Buffer,Peak_Area_IC,slope,S/N,conc_M,ret_time,SMILES
200420,1-hydroxypyrene,C18-RP,Acetonitrile,2.7,Formic acid,258244958.49395418,595591642237.1923,43,3.6131666645757135e-4,13.57,c1cc2ccc3ccc(c4ccc(c1)c2c34)O
200420,1-hydroxypyrene,C18-RP,Acetonitrile,2.7,Formic acid,1136505449.2698653,595591642237.1923,191,0.0018065833322878568,13.59,c1cc2ccc3ccc(c4ccc(c1)c2c34)O
200420,1-hydroxypyrene,C18-RP,Acetonitrile,2.7,Formic acid,2196267620.8823915,595591642237.1923,327,0.0036131666645757136,13.57,c1cc2ccc3ccc(c4ccc(c1)c2c34)O
200420,1-hydroxypyrene,C18-RP,Acetonitrile,2.7,Formic acid,4003447531.0769324,595591642237.1923,596,0.007226333329151427,13.57,c1cc2ccc3ccc(c4ccc(c1)c2c34)O
200420,1-Naphthol,C18-RP,Acetonitrile,2.7,Formic acid,253004766.27297992,92606333264.36848,14,0.002498204831794716,10.61,c1ccc2c(c1)cccc2O
200420,1-Naphthol,C18-RP,Acetonitrile,2.7,Formic acid,466713865.42943114,92606333264.36848,25,0.004996409663589432,10.61,c1ccc2c(c1)cccc2O
200420,1-Naphthol,C18-RP,Acetonitrile,2.7,Formic acid,949668174.506417,92606333264.36848,56,0.009992819327178864,10.61,c1ccc2c(c1)cccc2O
200420,1-Naphthol,C18-RP,Acetonitrile,2.7,Formic acid,2328361948.782968,92606333264.36848,148,0.02498204831794716,10.61,c1ccc2c(c1)cccc2O
200420,1-Naphthol,C18-RP,Acetonitrile,2.7,Formic acid,4847126344.878354,92606333264.36848,302,0.04996409663589432,10.61,c1ccc2c(c1)cccc2O
200420,1-Naphthol,C18-RP,Acetonitrile,2.7,Formic acid,8961328490.981823,92606333264.36848,490,0.09992819327178865,10.61,c1ccc2c(c1)cccc2O
200420,1-Naphthol,C18-RP,Methanol,2.7,Formic acid,256032280.70398083,104823371098.89543,25,0.002498204831794716,13.25,c1ccc2c(c1)cccc2O
200420,1-Naphthol,C18-RP,Methanol,2.7,Formic acid,539000527.1876287,104823371098.89543,65,0.004996409663589432,13.25,c1ccc2c(c1)cccc2O
200420,1-Naphthol,C18-RP,Methanol,2.7,Formic acid,1074431306.8780801,104823371098.89543,110,0.009992819327178864,13.25,c1ccc2c(c1)cccc2O
200420,1-Naphthol,C18-RP,Methanol,2.7,Formic acid,2622545864.032668,104823371098.89543,300,0.02498204831794716,13.25,c1ccc2c(c1)cccc2O
200420,1-Naphthol,C18-RP,Methanol,2.7,Formic acid,5629537537.580112,104823371098.89543,517,0.04996409663589432,13.25,c1ccc2c(c1)cccc2O
200420,1-Naphthol,C18-RP,Methanol,2.7,Formic acid,10686384149.64343,104823371098.89543,1169,0.09992819327178865,13.25,c1ccc2c(c1)cccc2O
200420,17beta estradiol,C18-RP,Acetonitrile,2.7,Formic acid,737280577.9686787,2564415937290.0854,98,2.7606913413866853e-4,10.81,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O
200420,17beta estradiol,C18-RP,Acetonitrile,2.7,Formic acid,3672745798.469722,2564415937290.0854,684,0.0013803456706933425,10.81,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O
200420,17beta estradiol,C18-RP,Acetonitrile,2.7,Formic acid,7116288283.736415,2564415937290.0854,1039,0.002760691341386685,10.8,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O
200420,17beta estradiol,C18-RP,Acetonitrile,2.7,Formic acid,13749713154.929232,2564415937290.0854,1890,0.00552138268277337,10.81,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O
200420,17beta estradiol,C18-RP,Methanol,2.7,Formic acid,525076162.7587063,1789005726740.039,49,2.7606913413866853e-4,15.16,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O
200420,17beta estradiol,C18-RP,Methanol,2.7,Formic acid,2529913230.522089,1789005726740.039,298,0.0013803456706933425,15.16,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O
200420,17beta estradiol,C18-RP,Methanol,2.7,Formic acid,4972170950.3082,1789005726740.039,446,0.002760691341386685,15.16,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O
200420,17beta estradiol,C18-RP,Methanol,2.7,Formic acid,9499224511.774773,1789005726740.039,1104,0.00552138268277337,15.16,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O
200420,1H-Benzotriazole,C18-RP,Acetonitrile,2.7,Formic acid,1491849607.7821395,2538649450931.5386,215,5.824779810793877e-4,5.17,c1ccc2c(c1)nn[nH]2
200420,1H-Benzotriazole,C18-RP,Acetonitrile,2.7,Formic acid,7617790180.049042,2538649450931.5386,929,0.0029123899053969384,5.17,c1ccc2c(c1)nn[nH]2
200420,1H-Benzotriazole,C18-RP,Acetonitrile,2.7,Formic acid,14815295622.609894,2538649450931.5386,1604,0.005824779810793877,5.17,c1ccc2c(c1)nn[nH]2
200420,1H-Benzotriazole,C18-RP,Acetonitrile,2.7,Formic acid,28621688905.106762,2538649450931.5386,3703,0.011649559621587754,5.17,c1ccc2c(c1)nn[nH]2
200420,1H-Benzotriazole,C18-RP,Methanol,2.7,Formic acid,1557629983.9770079,2695008640002.7754,54,5.824779810793877e-4,7.35,c1ccc2c(c1)nn[nH]2
200420,1H-Benzotriazole,C18-RP,Methanol,2.7,Formic acid,8155208425.6025305,2695008640002.7754,311,0.0029123899053969384,7.35,c1ccc2c(c1)nn[nH]2
200420,1H-Benzotriazole,C18-RP,Methanol,2.7,Formic acid,15708424828.213078,2695008640002.7754,471,0.005824779810793877,7.35,c1ccc2c(c1)nn[nH]2
200420,1H-Benzotriazole,C18-RP,Methanol,2.7,Formic acid,30613143028.87141,2695008640002.7754,1126,0.011649559621587754,7.35,c1ccc2c(c1)nn[nH]2
200420,1H-Benzotriazole,C18-RP,Methanol,2.7,Formic acid,66823935301.33305,2695008640002.7754,2027,0.029123899053969383,7.35,c1ccc2c(c1)nn[nH]2
200420,2-(Methylthio)benzothiazole,C18-RP,Acetonitrile,2.7,Formic acid,106310174.06279947,263326812026.21072,11,4.3221884503239925e-4,12.37,CSc1nc2ccccc2s1
200420,2-(Methylthio)benzothiazole,C18-RP,Acetonitrile,2.7,Formic acid,602298778.6718768,263326812026.21072,55,0.0021610942251619964,12.37,CSc1nc2ccccc2s1
200420,2-(Methylthio)benzothiazole,C18-RP,Acetonitrile,2.7,Formic acid,1116283141.66961,263326812026.21072,111,0.004322188450323993,12.37,CSc1nc2ccccc2s1
200420,2-(Methylthio)benzothiazole,C18-RP,Acetonitrile,2.7,Formic acid,2221443260.4830823,263326812026.21072,215,0.0086443769006479855,12.37,CSc1nc2ccccc2s1
200420,2-(Methylthio)benzothiazole,C18-RP,Acetonitrile,2.7,Formic acid,5699274889.772594,263326812026.21072,449,0.021610942251619962,12.35,CSc1nc2ccccc2s1
200420,2-(Methylthio)benzothiazole,C18-RP,Acetonitrile,2.7,Formic acid,11571852036.066393,263326812026.21072,1021,0.043221884503239924,12.35,CSc1nc2ccccc2s1
200420,2-(Methylthio)benzothiazole,C18-RP,Acetonitrile,2.7,Formic acid,27888785767.742035,263326812026.21072,2232,0.08644376900647985,12.35,CSc1nc2ccccc2s1
200420,2-(Methylthio)benzothiazole,C18-RP,Methanol,2.7,Formic acid,132615957.36954765,301706783488.2687,13,4.3221884503239925e-4,15.18,CSc1nc2ccccc2s1
200420,2-(Methylthio)benzothiazole,C18-RP,Methanol,2.7,Formic acid,659916782.3278348,301706783488.2687,71,0.0021610942251619964,15.18,CSc1nc2ccccc2s1
200420,2-(Methylthio)benzothiazole,C18-RP,Methanol,2.7,Formic acid,1263845335.8577142,301706783488.2687,140,0.004322188450323993,15.16,CSc1nc2ccccc2s1
200420,2-(Methylthio)benzothiazole,C18-RP,Methanol,2.7,Formic acid,2620077407.3153653,301706783488.2687,273,0.0086443769006479855,15.16,CSc1nc2ccccc2s1
200420,2-(Methylthio)benzothiazole,C18-RP,Methanol,2.7,Formic acid,6514352021.615319,301706783488.2687,681,0.021610942251619962,15.16,CSc1nc2ccccc2s1
200420,2-(Methylthio)benzothiazole,C18-RP,Methanol,2.7,Formic acid,12749018175.385942,301706783488.2687,1193,0.043221884503239924,15.16,CSc1nc2ccccc2s1
200420,2-(Methylthio)benzothiazole,C18-RP,Methanol,2.7,Formic acid,30583574638.765514,301706783488.2687,3054,0.08644376900647985,15.16,CSc1nc2ccccc2s1
200420,2-naphthoic acid,C18-RP,Methanol,2.7,Formic acid,153245736.67012542,80258775229.0533,5,0.0021839516388963078,14.12,c1ccc2cc(ccc2c1)C(=O)O
200420,2-naphthoic acid,C18-RP,Methanol,2.7,Formic acid,323347028.0953799,80258775229.0533,9,0.0043679032777926155,14.12,c1ccc2cc(ccc2c1)C(=O)O
200420,2-naphthoic acid,C18-RP,Methanol,2.7,Formic acid,654753724.011492,80258775229.0533,18,0.008735806555585231,14.12,c1ccc2cc(ccc2c1)C(=O)O
200420,2-naphthoic acid,C18-RP,Methanol,2.7,Formic acid,1831777876.115574,80258775229.0533,65,0.021839516388963077,14.12,c1ccc2cc(ccc2c1)C(=O)O
200420,2-naphthoic acid,C18-RP,Methanol,2.7,Formic acid,3453961919.056771,80258775229.0533,123,0.043679032777926154,14.12,c1ccc2cc(ccc2c1)C(=O)O
200420,4-Chloroaniline,C18-RP,Acetonitrile,2.7,Formic acid,1267811480.6423275,2108546030807.1135,58,6.297484274353152e-4,5.12,c1cc(ccc1Cl)N
200420,4-Chloroaniline,C18-RP,Acetonitrile,2.7,Formic acid,6515247198.139066,2108546030807.1135,413,0.003148742137176576,5.1,c1cc(ccc1Cl)N
200420,4-Chloroaniline,C18-RP,Acetonitrile,2.7,Formic acid,13213923513.552248,2108546030807.1135,866,0.006297484274353152,5.1,c1cc(ccc1Cl)N
200420,4-Chloroaniline,C18-RP,Acetonitrile,2.7,Formic acid,24759555127.084507,2108546030807.1135,1731,0.012594968548706304,5.09,c1cc(ccc1Cl)N
200420,4-Chloroaniline,C18-RP,Methanol,2.7,Formic acid,1345379542.2589796,2178344116822.478,27,6.297484274353152e-4,5.36,c1cc(ccc1Cl)N
200420,4-Chloroaniline,C18-RP,Methanol,2.7,Formic acid,6311292145.50326,2178344116822.478,170,0.003148742137176576,5.31,c1cc(ccc1Cl)N
200420,4-Chloroaniline,C18-RP,Methanol,2.7,Formic acid,14176615132.017199,2178344116822.478,377,0.006297484274353152,5.27,c1cc(ccc1Cl)N
200420,4-Chloroaniline,C18-RP,Methanol,2.7,Formic acid,27176087613.49242,2178344116822.478,768,0.012594968548706304,5.24,c1cc(ccc1Cl)N
200420,4-Chloroaniline,C18-RP,Methanol,2.7,Formic acid,61418637304.971794,2178344116822.478,1703,0.03148742137176576,5.2,c1cc(ccc1Cl)N
