standardized_inchikey,standardized_SMILES,RT
CTIOKRMSRHYZSZ-UHFFFAOYSA-N,Oc1[nH]c(O)c2c1CC=CC2,4.37
BMPDWHIDQYTSHX-AWEZNQCLSA-N,NC(=O)N1c2ccccc2C[C@H](O)c2ccccc21,5.94
GCKMFJBGXUYNAG-HLXURNFRSA-N,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,10.37
BHUYWUDMVCLHND-UHFFFAOYSA-N,OCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,7.65
QHSMEGADRFZVNE-UHFFFAOYSA-N,OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,8.44
ASOKPJOREAFHNY-UHFFFAOYSA-N,On1nnc2ccccc21,3.88
NBOOZXVYXHATOW-UHFFFAOYSA-N,c1cc2c(cc1CN1CCNCC1)OCO2,4.22
UNQQFDCVEMVQHM-UHFFFAOYSA-N,COc1cc(CCN)c(OC)cc1C,5.34
PZJOKFZGPTVNBF-UHFFFAOYSA-N,CCCc1cc(OC)c(CCN)cc1OC,7.46
JUCNGUOYQGHBJC-UHFFFAOYSA-N,COC(=O)COc1cc(Cl)c(Cl)cc1Cl,10.75
OVSKIKFHRZPJSS-UHFFFAOYSA-N,O=C(O)COc1ccc(Cl)cc1Cl,7.15
YIVXMZJTEQBPQO-UHFFFAOYSA-N,O=C(O)CCCOc1ccc(Cl)cc1Cl,10.04
NKXSNMCGZZWMMW-UHFFFAOYSA-N,COC(=O)CCCOc1ccc(Cl)cc1Cl,11.34
UQMRAFJOBWOFNS-UHFFFAOYSA-N,CCCCOC(=O)COc1ccc(Cl)cc1Cl,11.86
CZZZABOKJQXEBO-UHFFFAOYSA-N,Cc1ccc(N)c(C)c1,5.04
HWIGZMADSFQMOI-UHFFFAOYSA-N,COC(=O)COc1ccc(Cl)cc1Cl,9.61
LATVFYDIBMDBSY-UHFFFAOYSA-N,COc1ccc(OC)c(CC(C)N)c1,4.78
