File_name,Compound_name,Column,Organic_modifier,pH,Additive,Retention_time,Peak_Area_IC,S.N,Concentration_(mol/L),SMILES,slope
200318,1-hydroxypyrene,C18-Mixed,Acetonitrile,2.7,Formic acid,14.16,1708169915,130,0.003613167,c1cc2ccc3ccc(c4ccc(c1)c2c34)O,4.72763E+11
200318,1-hydroxypyrene,C18-Mixed,Acetonitrile,2.7,Formic acid,14.17,2856479632,236,0.007226333,c1cc2ccc3ccc(c4ccc(c1)c2c34)O,3.95288E+11
200318,1-hydroxypyrene,C18-Mixed,Acetonitrile,2.7,Formic acid,14.17,5819274930,516,0.018065833,c1cc2ccc3ccc(c4ccc(c1)c2c34)O,3.22115E+11
200318,1-hydroxypyrene,C18-Mixed,Acetonitrile,2.7,Formic acid,14.17,10998524765,1173,0.036131667,c1cc2ccc3ccc(c4ccc(c1)c2c34)O,3.04401E+11
200318,1-hydroxypyrene,C18-Mixed,Acetonitrile,2.7,Formic acid,14.17,19000337746,1337,0.072263333,c1cc2ccc3ccc(c4ccc(c1)c2c34)O,2.62932E+11
200318,1-hydroxypyrene,C18-Mixed,Methanol,2.7,Formic acid,17.15,2513160169,301,0.003613167,c1cc2ccc3ccc(c4ccc(c1)c2c34)O,6.95556E+11
200318,1-hydroxypyrene,C18-Mixed,Methanol,2.7,Formic acid,17.17,4505983627,422,0.007226333,c1cc2ccc3ccc(c4ccc(c1)c2c34)O,6.2355E+11
200318,1-hydroxypyrene,C18-Mixed,Methanol,2.7,Formic acid,17.17,9533522826,909,0.018065833,c1cc2ccc3ccc(c4ccc(c1)c2c34)O,5.2771E+11
200318,1-hydroxypyrene,C18-Mixed,Methanol,2.7,Formic acid,17.17,16417191363,1464,0.036131667,c1cc2ccc3ccc(c4ccc(c1)c2c34)O,4.54371E+11
200318,1-hydroxypyrene,C18-Mixed,Methanol,2.7,Formic acid,17.15,23073633656,2283,0.072263333,c1cc2ccc3ccc(c4ccc(c1)c2c34)O,3.19299E+11
200318,1-Nitropyrene,C18-Mixed,Acetonitrile,2.7,Formic acid,16.72,4564124367,670,0.002992527,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,1.52517E+12
200318,1-Nitropyrene,C18-Mixed,Acetonitrile,2.7,Formic acid,16.73,7418855532,953,0.005985053,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,1.23956E+12
200318,1-Nitropyrene,C18-Mixed,Acetonitrile,2.7,Formic acid,16.72,11249124875,1558,0.014962633,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,7.51815E+11
200318,1-Nitropyrene,C18-Mixed,Acetonitrile,2.7,Formic acid,16.72,16362638117,1964,0.029925267,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,5.46783E+11
200318,1-Nitropyrene,C18-Mixed,Acetonitrile,2.7,Formic acid,16.72,22790429022,3336,0.059850534,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,3.80789E+11
200318,1-Nitropyrene,C18-Mixed,Methanol,2.7,Formic acid,18.72,4538310415,672,0.002992527,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,1.51655E+12
200318,1-Nitropyrene,C18-Mixed,Methanol,2.7,Formic acid,18.74,8288323259,931,0.005985053,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,1.38484E+12
200318,1-Nitropyrene,C18-Mixed,Methanol,2.7,Formic acid,18.74,15557782765,1703,0.014962633,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,1.03978E+12
200318,1-Nitropyrene,C18-Mixed,Methanol,2.7,Formic acid,18.74,24549015302,2813,0.029925267,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,8.20344E+11
200318,1-Nitropyrene,C18-Mixed,Methanol,2.7,Formic acid,18.72,36559448955,4630,0.059850534,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,6.10846E+11
200318,17beta estradiol,C18-Mixed,Acetonitrile,2.7,Formic acid,11.68,5489894675,1013,0.002760691,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,1.98859E+12
200318,17beta estradiol,C18-Mixed,Acetonitrile,2.7,Formic acid,11.68,10612563967,1910,0.005521383,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,1.92208E+12
200318,17beta estradiol,C18-Mixed,Acetonitrile,2.7,Formic acid,11.68,23744134312,3727,0.013803457,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,1.72016E+12
200318,17beta estradiol,C18-Mixed,Acetonitrile,2.7,Formic acid,11.68,43702963343,5725,0.027606913,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,1.58304E+12
200318,17beta estradiol,C18-Mixed,Acetonitrile,2.7,Formic acid,11.68,70401503807,8546,0.055213827,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,1.27507E+12
200318,17beta estradiol,C18-Mixed,Methanol,2.7,Formic acid,16.15,3714666487,469,0.002760691,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,1.34556E+12
200318,17beta estradiol,C18-Mixed,Methanol,2.7,Formic acid,16.15,7397561340,990,0.005521383,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,1.3398E+12
200318,17beta estradiol,C18-Mixed,Methanol,2.7,Formic acid,16.15,16734703288,1994,0.013803457,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,1.21236E+12
200318,17beta estradiol,C18-Mixed,Methanol,2.7,Formic acid,16.13,29567496520,3314,0.027606913,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,1.07102E+12
200318,17beta estradiol,C18-Mixed,Methanol,2.7,Formic acid,16.13,53831469655,5668,0.055213827,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,9.74964E+11
200318,1H-Benzotriazole,C18-Mixed,Acetonitrile,2.7,Formic acid,5.89,12434036715,791,0.00582478,c1ccc2c(c1)nn[nH]2,2.13468E+12
200318,1H-Benzotriazole,C18-Mixed,Acetonitrile,2.7,Formic acid,5.89,22358199738,1225,0.01164956,c1ccc2c(c1)nn[nH]2,1.91923E+12
200318,1H-Benzotriazole,C18-Mixed,Acetonitrile,2.7,Formic acid,5.89,49057263560,2976,0.029123899,c1ccc2c(c1)nn[nH]2,1.68443E+12
200318,1H-Benzotriazole,C18-Mixed,Acetonitrile,2.7,Formic acid,5.89,80748712118,4056,0.058247798,c1ccc2c(c1)nn[nH]2,1.3863E+12
200318,1H-Benzotriazole,C18-Mixed,Acetonitrile,2.7,Formic acid,5.89,1.16424E+11,3625,0.116495596,c1ccc2c(c1)nn[nH]2,9.99383E+11
200318,1H-Benzotriazole,C18-Mixed,Methanol,2.7,Formic acid,8.43,13718615567,932,0.00582478,c1ccc2c(c1)nn[nH]2,2.35522E+12
200318,1H-Benzotriazole,C18-Mixed,Methanol,2.7,Formic acid,8.45,25893089904,1616,0.01164956,c1ccc2c(c1)nn[nH]2,2.22267E+12
200318,1H-Benzotriazole,C18-Mixed,Methanol,2.7,Formic acid,8.45,56119412695,3186,0.029123899,c1ccc2c(c1)nn[nH]2,1.92692E+12
200318,1H-Benzotriazole,C18-Mixed,Methanol,2.7,Formic acid,8.45,96629164717,6222,0.058247798,c1ccc2c(c1)nn[nH]2,1.65893E+12
200318,1H-Benzotriazole,C18-Mixed,Methanol,2.7,Formic acid,8.43,1.44708E+11,7126,0.116495596,c1ccc2c(c1)nn[nH]2,1.24217E+12
200318,2-(Methylthio)benzothiazole,C18-Mixed,Acetonitrile,2.7,Formic acid,12.82,853249384.4,81,0.004322188,CSc1nc2ccccc2s1,1.97411E+11
200318,2-(Methylthio)benzothiazole,C18-Mixed,Acetonitrile,2.7,Formic acid,12.82,1751096600,218,0.008644377,CSc1nc2ccccc2s1,2.02571E+11
200318,2-(Methylthio)benzothiazole,C18-Mixed,Acetonitrile,2.7,Formic acid,12.82,4254517407,451,0.021610942,CSc1nc2ccccc2s1,1.96869E+11
200318,2-(Methylthio)benzothiazole,C18-Mixed,Acetonitrile,2.7,Formic acid,12.82,8437752035,948,0.043221885,CSc1nc2ccccc2s1,1.95219E+11
200318,2-(Methylthio)benzothiazole,C18-Mixed,Acetonitrile,2.7,Formic acid,12.82,17582836279,1645,0.086443769,CSc1nc2ccccc2s1,2.03402E+11
